stage,team_a,team_b,goals_a,goals_b,winner
group,Mexico,South Africa,2,0,
group,South Korea,Czechia,2,1,
group,Canada,Bosnia & Herzegovina,1,1,
group,United States,Paraguay,4,1,
group,Qatar,Switzerland,1,1,
group,Brazil,Morocco,1,1,
group,Australia,Türkiye,2,0,
group,Germany,Curaçao,7,1,
group,Haiti,Scotland,0,1,
group,Netherlands,Japan,2,2,
group,Ivory Coast,Ecuador,1,0,
group,Sweden,Tunisia,5,1,
group,Spain,Cabo Verde,0,0,
group,Belgium,Egypt,1,1,
group,Saudi Arabia,Uruguay,1,1,
group,IR Iran,New Zealand,2,2,
group,France,Senegal,3,1,
group,Iraq,Norway,1,4,
group,Argentina,Algeria,3,0,
group,Austria,Jordan,3,1,
group,Portugal,DR Congo,1,1,
group,England,Croatia,4,2,
group,Ghana,Panama,1,0,
group,Uzbekistan,Colombia,1,3,
group,Czechia,South Africa,1,1,
group,Switzerland,Bosnia & Herzegovina,4,1,
group,Canada,Qatar,6,0,
group,Mexico,South Korea,1,0,
group,United States,Australia,2,0,
group,Scotland,Morocco,0,1,
group,Brazil,Haiti,3,0,
group,Türkiye,Paraguay,0,1,
group,Netherlands,Sweden,5,1,
group,Germany,Ivory Coast,2,1,
group,Ecuador,Curaçao,0,0,
group,Tunisia,Japan,0,4,
group,Uruguay,Cabo Verde,2,2,
group,Spain,Saudi Arabia,4,0,
group,Belgium,IR Iran,0,0,
group,New Zealand,Egypt,1,3,
group,Argentina,Austria,2,0,
group,France,Iraq,3,0,
group,Norway,Senegal,3,2,
group,Jordan,Algeria,1,2,
